ADANA,ADIYAMAN,AFYON,AÐRI,AMASYA,ANKARA,ANTALYA,ARTVÝN,AYDIN,BALIKESÝR,BÝLECÝK,BÝNGÖL,BÝTLÝS,BOLU,BURDUR,BURSA,ÇANAKKALE,ÇANKIRI,ÇORUM,DENÝZLÝ,DÝYARBAKIR,EDÝRNE,ELAZIÐ,ERZÝNCAN,ERZURUM,ESKÝÞEHÝR,GAZÝANTEP,GÝRESUN,GÜMÜÞHANE,HAKKARÝ,HATAY,ISPARTA,ÝÇEL,ÝSTANBUL,ÝZMÝR,KARS,KASTAMONU,KAYSERÝ,KIRKLARELÝ,KIRÞEHÝR,KOCAELÝ,KONYA,KÜTAHYA,MALATYA,MANÝSA,KAHRAMANMARAÞ,MARDÝN,MUÐLA,MUÞ,NEVÞEHÝR,NÝÐDE,ORDU,RÝZE,SAKARYA,SAMSUN,SÝÝRT,SÝNOP,SÝVAS,TEKÝRDAÐ,TOKAT,TRABZON,TUNCELÝ,ÞANLIURFA,UÞAK,VAN,YOZGAT,ZONGULDAK,AKSARAY,BAYBURT,KARAMAN,KIRIKKALE,BATMAN,ÞIRNAK,BARTIN,ARDAHAN,IÐDIR,YALOVA,KARABÜK,KÝLÝS,OSMANÝYE,DÜZCE
,336,573,966,611,490,557,1034,883,901,770,632,732,677,666,839,1100,575,579,760,525,1169,492,678,808,688,212,728,786,909,191,616,69,939,900,1011,689,333,1150,375,828,356,673,394,884,192,537,868,741,287,205,718,927,791,729,708,846,430,1071,499,852,626,349,689,895,473,754,265,808,289,474,621,720,769,1038,1069,893,701,249,87,722
336,,909,646,632,755,893,755,1219,1237,1059,349,412,946,1002,1128,1399,785,696,1096,205,1438,282,547,529,977,150,710,680,669,320,952,405,1208,1236,732,885,437,1419,571,1097,692,1009,184,1220,164,296,1204,462,518,541,726,856,1060,750,388,890,412,1340,520,781,416,110,1025,575,612,1023,593,654,625,684,301,480,1038,759,749,1162,970,209,249,991
573,909,,1310,589,256,292,1237,346,328,212,1100,1292,420,170,277,527,387,497,223,1098,684,960,939,1129,144,785,865,1006,1482,764,169,565,454,327,1329,501,521,665,429,343,223,100,862,311,765,1110,368,1209,440,459,821,1076,306,669,1281,670,695,586,633,1001,1070,922,116,1427,471,489,365,1028,336,331,1194,1293,515,1346,1420,341,447,822,660,375
966,646,1310,,738,1054,1429,397,1642,1571,1360,358,234,1147,1425,1420,1691,986,830,1519,441,1639,496,371,184,1287,754,547,384,432,950,1375,1035,1409,1633,217,991,813,1620,943,1298,1115,1365,592,1617,810,518,1664,245,892,939,591,550,1261,743,331,899,619,1541,677,485,424,617,1422,230,843,1207,967,306,1114,979,369,426,1174,310,143,1363,1105,813,879,1192
611,632,589,738,,333,825,696,931,833,622,640,832,409,755,682,953,248,92,808,699,901,546,367,557,566,607,324,434,1139,703,720,639,671,912,757,253,348,882,312,560,511,644,466,896,527,794,953,749,363,441,280,535,523,131,886,258,220,803,114,460,498,716,701,967,200,469,422,456,616,258,799,981,436,779,848,625,367,666,632,454
490,755,256,1054,333,,544,981,598,535,315,897,1089,191,422,384,655,131,241,475,908,683,757,683,873,233,671,609,750,1368,681,421,483,453,579,1073,245,318,664,184,342,258,311,659,563,591,996,620,1006,275,348,565,820,305,413,1095,414,439,585,377,745,814,808,368,1224,215,268,225,772,369,75,1008,1179,283,1090,1164,407,215,730,577,236
557,893,292,1429,825,544,,1466,342,505,476,1189,1289,684,122,541,704,668,733,220,1082,912,1049,1058,1248,424,769,1101,1166,1466,748,130,488,718,444,1448,782,618,929,572,607,322,364,951,428,749,1094,311,1298,537,544,1057,1307,570,905,1265,951,810,850,869,1232,1183,906,294,1452,684,753,462,1188,374,567,1178,1277,803,1470,1539,605,735,806,644,639
1034,755,1237,397,696,981,1466,,1579,1464,1253,406,562,1040,1403,1313,1584,896,740,1456,550,1532,544,408,226,1214,863,372,337,771,1018,1368,1103,1302,1560,210,859,850,1513,954,1191,1152,1292,640,1544,862,645,1601,479,929,976,416,161,1154,568,659,724,656,1434,635,236,461,726,1349,569,842,1075,1004,343,1151,906,603,754,1042,117,344,1256,973,922,947,1085
883,1219,346,1642,931,598,342,1579,,296,520,1410,1602,718,272,445,450,729,839,126,1408,658,1270,1271,1461,478,1095,1207,1348,1792,1074,288,830,684,126,1661,843,831,675,771,573,533,408,1172,155,1075,1420,99,1519,750,769,1163,1418,604,1011,1591,1012,1023,630,975,1343,1402,1232,273,1737,813,787,675,1370,642,673,1504,1603,857,1683,1752,510,789,1132,970,673
901,1237,328,1571,833,535,505,1464,296,,246,1421,1613,424,397,151,199,659,776,285,1426,407,1281,1200,1390,302,1113,1092,1255,1810,1092,396,893,390,176,1590,672,842,424,708,279,551,228,1183,141,1093,1438,395,1530,768,787,1048,1303,310,896,1609,844,974,379,912,1228,1331,1250,225,1748,750,493,693,1289,664,610,1522,1621,582,1573,1681,216,558,1150,988,379
770,1059,212,1360,622,315,476,1253,520,246,,1201,1393,213,354,95,366,446,556,397,1212,477,1061,989,1179,82,975,881,1044,1672,961,353,762,247,420,1379,461,622,458,488,136,420,112,963,385,895,1300,542,1310,579,648,837,1092,99,685,1399,633,754,379,692,1017,1120,1112,251,1528,530,282,525,1078,533,390,1312,1483,371,1362,1470,129,347,1019,857,168
632,349,1100,358,640,897,1189,406,1410,1421,1201,,196,1049,1193,1270,1541,888,732,1287,144,1541,142,273,180,1119,457,546,383,503,616,1143,701,1311,1427,383,893,579,1522,713,1200,883,1197,238,1411,460,239,1432,113,660,707,590,559,1163,719,284,865,468,1443,576,484,142,320,1216,331,692,1109,735,305,882,826,197,379,1076,410,474,1265,1007,516,545,1094
732,412,1292,234,832,1089,1289,562,1602,1613,1393,196,,1241,1385,1462,1733,1080,924,1479,207,1733,334,465,349,1311,520,712,549,335,716,1335,801,1503,1619,432,1085,771,1714,905,1392,1075,1389,430,1603,576,284,1600,83,852,899,756,715,1355,908,97,1057,660,1635,768,650,334,383,1408,163,884,1301,927,471,1021,1018,135,192,1268,491,337,1457,1199,579,645,1286
677,946,420,1147,409,191,684,1040,718,424,213,1049,1241,,562,273,544,235,352,605,1099,492,948,776,966,290,862,668,831,1548,868,561,670,262,598,1166,248,509,473,375,151,445,320,850,563,782,1187,750,1158,466,535,624,879,114,472,1286,420,629,394,523,804,907,999,459,1376,406,159,412,865,556,266,1199,1370,174,1149,1257,216,134,921,764,45
666,1002,170,1425,755,422,122,1403,272,397,354,1193,1385,562,,419,596,553,663,150,1191,804,1053,1054,1244,302,878,1031,1162,1575,857,51,610,596,374,1444,667,614,807,568,485,315,242,955,358,858,1203,241,1302,533,552,987,1242,448,835,1374,836,806,728,799,1167,1185,1015,172,1520,637,631,458,1184,420,497,1287,1386,681,1466,1535,483,613,915,753,517
839,1128,277,1420,682,384,541,1313,445,151,95,1270,1462,273,419,,271,508,625,434,1281,419,1130,1049,1239,151,1044,941,1104,1741,1030,418,831,243,325,1439,521,691,436,557,132,489,177,1032,290,964,1369,544,1379,648,717,897,1152,159,745,1468,693,823,375,761,1077,1180,1181,311,1597,599,342,594,1138,602,459,1381,1552,431,1422,1530,69,407,1088,926,228
1100,1399,527,1691,953,655,704,1584,450,199,366,1541,1733,544,596,271,,779,896,484,1552,216,1401,1320,1510,422,1312,1212,1375,2009,1291,595,1092,320,326,1710,792,962,233,828,399,750,427,1303,331,1235,1637,549,1650,919,986,1168,1423,430,1016,1739,964,1094,188,1032,1348,1451,1449,424,1868,870,613,865,1409,863,730,1652,1820,702,1693,1801,336,678,1349,1187,499
575,785,387,986,248,131,668,896,729,659,446,888,1080,235,553,508,779,,156,606,919,727,766,615,805,364,701,524,682,1387,766,552,568,497,710,1005,114,348,708,214,386,354,442,686,694,621,1014,751,997,305,387,480,735,349,328,1106,283,440,629,334,660,746,838,499,1215,245,297,310,704,465,105,1019,1201,284,1005,1096,451,195,760,662,280
