EventID,Ajans,Tarih_UTC,Enlem,Boylam,Derinlik,Buyukluk,Ulke,Sehir
402507,DDA,2018-01-28 14:48:34,37.2926,23.9261,14.86,4.3,-,-
402007,DDA,2018-01-21 09:07:18,35.0075,46.2058,4.53,4.4,Iran,Paveh
401999,DDA,2018-01-21 05:45:38,34.5565,45.2366,8.3,4.1,Irak,Khanaqin
401977,DDA,2018-01-21 02:19:44,34.8436,44.9755,6.99,4.2,Irak,Kalar
401835,DDA,2018-01-19 13:53:12,38.29,38.8178,9.17,4.1,Türkiye,Malatya
401538,DDA,2018-01-15 20:24:10,38.131,23.842,13.2,4.2,Yunanistan,Attica
401425,DDA,2018-01-14 11:56:18,39.5368,26.0538,10.24,4.1,-,-
401209,DDA,2018-01-11 20:19:49,34.394,45.663,196.3,4.1,Iran,Gilan-e-Gharb
401193,DDA,2018-01-11 13:17:31,36.7553,44.0856,41.78,4.1,Irak,Akre
401087,DDA,2018-01-10 15:56:34,34.428,46.363,35.1,4.5,Iran,Eslamabad-e-Gharb
400752,DDA,2018-01-07 04:05:15,35.1235,23.8001,6.18,4.2,-,-
400742,DDA,2018-01-07 02:01:51,34.59,45.1008,6.7,4.1,Irak,Kifri
400693,DDA,2018-01-06 19:45:10,40.5446,36.5975,15.81,4,Türkiye,Tokat
400535,DDA,2018-01-05 06:33:00,34.653,45.195,15,4,Irak,Kalar
400530,DDA,2018-01-05 04:33:17,37.1116,28.6075,13.31,4.2,Türkiye,Mugla
400442,DDA,2018-01-04 04:53:55,39.3356,27.9778,4.71,4,Türkiye,Balikesir
400432,DDA,2018-01-03 22:15:15,35.09,25.212,15,4.1,Yunanistan,Heraklion
400344,DDA,2018-01-02 17:36:31,41.1901,22.7831,14.78,4.2,Yunanistan,Kilkis
400190,DDA,2017-12-31 20:12:02,40.5491,27.8495,13.79,4,-,-
400138,DDA,2017-12-31 04:02:17,38.33,22.623,15,4.8,-,-
399672,DDA,2017-12-26 09:11:47,35.6206,45.052,7,4.2,Irak,Sulaymaniya
399531,DDA,2017-12-25 05:13:51,38.5685,26.7228,9.94,4.8,Türkiye,-
399098,DDA,2017-12-20 04:18:26,34.901,23.607,68.1,4.5,-,-
398944,DDA,2017-12-18 09:42:33,35.8023,23.7375,23.04,4,-,-
398822,DDA,2017-12-16 16:57:07,34.3781,26.6036,8.11,4.3,-,-
398544,DDA,2017-12-13 07:30:04,35.0285,23.8958,10.44,4.7,-,-
398394,DDA,2017-12-11 14:42:37,34.828,46.109,15,4.8,Iran,n.a. (03)
398392,DDA,2017-12-11 14:10:00,34.895,45.593,41.9,5.4,Irak,Khanaqin
398156,DDA,2017-12-08 05:20:39,36.3141,27.6161,7.25,4.5,-,-
397992,DDA,2017-12-06 07:57:41,34.5415,45.271,7.13,4.4,Irak,Khanaqin
397718,DDA,2017-12-02 11:57:53,37.6413,44.9768,1.48,4.7,Iran,Orumiyeh
397576,DDA,2017-11-30 15:55:53,34.508,32.1766,56.34,4.1,-,-
397236,DDA,2017-11-26 19:01:35,42.3933,24.9608,8.71,4,Bulgaristan,Plovdiv
397201,DDA,2017-11-26 05:47:38,34.808,45.463,166.4,4.5,Irak,Khanaqin
396950,DDA,2017-11-24 21:49:14,37.1146,28.6045,24.46,5.1,Türkiye,Mugla
396915,DDA,2017-11-24 12:00:43,35.967,27.171,28.11,4,-,-
396728,DDA,2017-11-22 22:37:38,40.4485,22.8901,7.33,4.3,Yunanistan,Thessaloniki
396691,DDA,2017-11-22 20:22:51,37.1206,28.5921,24.75,5,Türkiye,Mugla
396530,DDA,2017-11-20 15:36:01,34.9701,45.2923,5.45,4.1,Irak,Kalar
396415,DDA,2017-11-19 09:14:49,38.7583,26.3531,8.56,4.2,-,-
396292,DDA,2017-11-18 04:12:23,35.135,45.233,15,4.4,Irak,Chamchamal
395892,DDA,2017-11-14 01:46:01,35.63,45.588,225.7,4.5,Irak,Sharbazher
395887,DDA,2017-11-14 01:08:59,35.249,44.938,15,4.1,Irak,Chamchamal
395852,DDA,2017-11-13 13:12:42,34.567,45.085,14.9,4.4,Irak,Kifri
395830,DDA,2017-11-12 18:18:14,34.642,45.795,20,7.2,Iran,Sarpol-e-Zahab
395654,DDA,2017-11-11 08:56:37,38.857,27.4725,18.09,4.4,Türkiye,Manisa
395598,DDA,2017-11-10 18:35:51,35.177,25.755,35.8,4.2,-,-
395234,DDA,2017-11-07 02:40:33,36.3163,28.4438,41.89,4.4,-,-
395036,DDA,2017-11-04 21:54:09,36.7326,28.187,66.78,4.2,Türkiye,Mugla
394165,DDA,2017-10-25 09:12:42,39.3325,24.038,19,4,-,-
394055,DDA,2017-10-24 09:36:23,36.9508,27.3866,12.09,4.6,-,-
393016,DDA,2017-10-13 02:36:39,34.533,25.42,80.3,4,-,-
392894,DDA,2017-10-11 22:49:41,39.1348,24.1933,17.1,5,-,-
392789,DDA,2017-10-10 19:59:24,36.92,27.295,8.4,4.2,-,-
392231,DDA,2017-10-05 13:43:22,37.8671,29.5105,6.33,4,Türkiye,Denizli
392144,DDA,2017-10-04 18:46:48,38.8105,43.4613,22.43,4,Türkiye,Van
391786,DDA,2017-09-29 16:08:41,37.0441,30.6678,52.43,4.4,Türkiye,Antalya
391402,DDA,2017-09-24 16:57:16,36.917,27.23,9.2,4.5,-,-
391217,DDA,2017-09-22 04:20:21,38.9458,26.2496,11.61,4.1,-,-
391204,DDA,2017-09-21 20:17:22,34.552,26.119,15,4,-,-
391177,DDA,2017-09-21 08:27:12,35.62,27.342,15,4,-,-
391091,DDA,2017-09-20 08:40:08,37.919,22.721,35.1,4,Yunanistan,Corinth
390903,DDA,2017-09-18 09:41:07,39.1863,43.623,4.31,4.1,Türkiye,Van
390864,DDA,2017-09-17 14:29:37,39.2273,24.2995,7.04,4.4,-,-
390710,DDA,2017-09-16 08:33:55,37.1255,27.7191,11.28,4.2,Türkiye,Mugla
390708,DDA,2017-09-16 08:12:41,39.4273,26.3946,13.27,4.1,-,-
389990,DDA,2017-09-08 23:23:33,37.1208,27.7283,6.98,4,Türkiye,Mugla
389628,DDA,2017-09-04 14:33:58,34.3955,25.5045,7.03,4.1,-,-
389273,DDA,2017-09-01 16:48:34,36.0123,28.0248,61.98,4.8,-,-
388319,DDA,2017-08-23 13:42:50,35.8675,44.7746,4.45,5.2,Irak,Koisnjaq
387660,DDA,2017-08-18 14:10:47,36.9063,27.62,16.79,4.5,Türkiye,-
387643,DDA,2017-08-18 12:47:33,36.9051,27.645,9.12,4.2,Türkiye,-
387610,DDA,2017-08-18 04:30:01,37.572,37.5423,9.02,4.3,Türkiye,Kahramanmaras
387602,DDA,2017-08-18 03:46:55,34.8195,24.5321,6.99,4.6,-,-
387434,DDA,2017-08-16 15:53:29,36.6793,24.6761,5.86,4.5,-,-
386981,DDA,2017-08-14 02:43:48,37.1215,27.7088,6.9,4.7,Türkiye,Mugla
386857,DDA,2017-08-13 16:35:22,37.131,27.7206,7.12,4.3,Türkiye,Mugla
386804,DDA,2017-08-13 12:28:14,37.1133,27.7023,14.4,4.1,Türkiye,Mugla
386789,DDA,2017-08-13 11:16:51,37.0813,27.6848,26.19,4.8,Türkiye,Mugla
386363,DDA,2017-08-11 03:28:33,35.459,23.0303,6.65,4.3,-,-
386289,DDA,2017-08-10 15:19:26,39.9381,39.6228,12.1,4,Türkiye,Gümüshane
386148,DDA,2017-08-09 22:56:18,36.9783,27.6608,13.74,4.1,Türkiye,-
386126,DDA,2017-08-09 20:14:08,39.3031,27.8866,13.08,4,Türkiye,Manisa
385714,DDA,2017-08-08 07:42:21,36.9576,27.6236,11.03,5.1,Türkiye,-
385636,DDA,2017-08-08 01:46:20,36.9738,27.6458,6.86,4.3,Türkiye,-
385581,DDA,2017-08-07 18:25:58,36.9905,27.6285,9.14,4.1,Türkiye,Mugla
385483,DDA,2017-08-07 05:44:25,36.9616,27.6188,11.87,4.1,Türkiye,-
385473,DDA,2017-08-07 05:18:47,36.9951,27.6128,12.67,4.6,Türkiye,Mugla
385056,DDA,2017-08-05 03:20:52,38.9431,26.6051,5.9,4.2,-,-
384318,DDA,2017-07-31 21:29:14,34.6571,24.1415,6.61,5.1,-,-
384088,DDA,2017-07-30 17:51:18,36.9601,27.6333,20.97,4.4,Türkiye,-
384034,DDA,2017-07-30 10:56:33,36.9913,27.6035,10.25,4,Türkiye,-
384019,DDA,2017-07-30 07:02:14,36.9956,27.5933,10.37,4.3,Türkiye,Mugla
383447,DDA,2017-07-27 12:45:18,40.2238,25.195,32.94,4.1,-,-
382315,DDA,2017-07-22 22:12:32,40.0158,27.1296,14.72,4,Türkiye,Çanakkale
382240,DDA,2017-07-22 17:25:48,36.584,26.806,127.2,4.6,-,-
382235,DDA,2017-07-22 17:09:21,36.9143,27.3148,7.85,4.6,-,-
382093,DDA,2017-07-22 04:53:38,36.9,27.576,15.1,4,Türkiye,-
382009,DDA,2017-07-22 00:34:11,36.916,27.551,13.3,4,Türkiye,-
381868,DDA,2017-07-21 17:09:48,36.941,27.332,37.5,5,-,-
381732,DDA,2017-07-21 10:36:54,34.911,25.202,66.8,4.4,-,-
381703,DDA,2017-07-21 09:55:53,36.91,27.678,14.7,4.2,Türkiye,-
381621,DDA,2017-07-21 05:52:12,36.922,27.3391,10.31,4.1,-,-
381614,DDA,2017-07-21 05:13:59,36.9016,27.6203,7.06,4.2,Türkiye,-
