"director_name","duration","actor_2_name","gross","actor_1_name","movie_title","actor_3_name","language","country","budget","title_year","imdb_score","genres"
"James Cameron",178,"Joel David Moore",760505847,"CCH Pounder","Avatar ","Wes Studi","English","USA",237000000,2009,7.9,"Action"
"Gore Verbinski",169,"Orlando Bloom",309404152,"Johnny Depp","Pirates of the Caribbean: At World's End ","Jack Davenport","English","USA",300000000,2007,7.1,"Action"
"Sam Mendes",148,"Rory Kinnear",200074175,"Christoph Waltz","Spectre ","Stephanie Sigman","English","UK",245000000,2015,6.8,"Action"
"Christopher Nolan",164,"Christian Bale",448130642,"Tom Hardy","The Dark Knight Rises ","Joseph Gordon-Levitt","English","USA",250000000,2012,8.5,"Action"
"Andrew Stanton",132,"Samantha Morton",73058679,"Daryl Sabara","John Carter ","Polly Walker","English","USA",263700000,2012,6.6,"Action"
"Sam Raimi",156,"James Franco",336530303,"J.K. Simmons","Spider-Man 3 ","Kirsten Dunst","English","USA",258000000,2007,6.2,"Action"
"Nathan Greno",100,"Donna Murphy",200807262,"Brad Garrett","Tangled ","M.C. Gainey","English","USA",260000000,2010,7.8,"Adventure"
"Joss Whedon",141,"Robert Downey Jr.",458991599,"Chris Hemsworth","Avengers: Age of Ultron ","Scarlett Johansson","English","USA",250000000,2015,7.5,"Action"
"David Yates",153,"Daniel Radcliffe",301956980,"Alan Rickman","Harry Potter and the Half-Blood Prince ","Rupert Grint","English","UK",250000000,2009,7.5,"Adventure"
"Zack Snyder",183,"Lauren Cohan",330249062,"Henry Cavill","Batman v Superman: Dawn of Justice ","Alan D. Purwin","English","USA",250000000,2016,6.9,"Action"
"Bryan Singer",169,"Marlon Brando",200069408,"Kevin Spacey","Superman Returns ","Frank Langella","English","USA",209000000,2006,6.1,"Action"
"Marc Forster",106,"Mathieu Amalric",168368427,"Giancarlo Giannini","Quantum of Solace ","Rory Kinnear","English","UK",200000000,2008,6.7,"Action"
"Gore Verbinski",151,"Orlando Bloom",423032628,"Johnny Depp","Pirates of the Caribbean: Dead Man's Chest ","Jack Davenport","English","USA",225000000,2006,7.3,"Action"
"Gore Verbinski",150,"Ruth Wilson",89289910,"Johnny Depp","The Lone Ranger ","Tom Wilkinson","English","USA",215000000,2013,6.5,"Action"
"Zack Snyder",143,"Christopher Meloni",291021565,"Henry Cavill","Man of Steel ","Harry Lennix","English","USA",225000000,2013,7.2,"Action"
"Andrew Adamson",150,"Pierfrancesco Favino",141614023,"Peter Dinklage","The Chronicles of Narnia: Prince Caspian ","Damián Alcázar","English","USA",225000000,2008,6.6,"Action"
"Joss Whedon",173,"Robert Downey Jr.",623279547,"Chris Hemsworth","The Avengers ","Scarlett Johansson","English","USA",220000000,2012,8.1,"Action"
"Rob Marshall",136,"Sam Claflin",241063875,"Johnny Depp","Pirates of the Caribbean: On Stranger Tides ","Stephen Graham","English","USA",250000000,2011,6.7,"Action"
"Barry Sonnenfeld",106,"Michael Stuhlbarg",179020854,"Will Smith","Men in Black 3 ","Nicole Scherzinger","English","USA",225000000,2012,6.8,"Action"
"Peter Jackson",164,"Adam Brown",255108370,"Aidan Turner","The Hobbit: The Battle of the Five Armies ","James Nesbitt","English","New Zealand",250000000,2014,7.5,"Adventure"
"Marc Webb",153,"Andrew Garfield",262030663,"Emma Stone","The Amazing Spider-Man ","Chris Zylka","English","USA",230000000,2012,7,"Action"
"Ridley Scott",156,"William Hurt",105219735,"Mark Addy","Robin Hood ","Scott Grimes","English","USA",200000000,2010,6.7,"Action"
"Peter Jackson",186,"Adam Brown",258355354,"Aidan Turner","The Hobbit: The Desolation of Smaug ","James Nesbitt","English","USA",225000000,2013,7.9,"Adventure"
"Chris Weitz",113,"Eva Green",70083519,"Christopher Lee","The Golden Compass ","Kristin Scott Thomas","English","USA",180000000,2007,6.1,"Adventure"
"Peter Jackson",201,"Thomas Kretschmann",218051260,"Naomi Watts","King Kong ","Evan Parke","English","New Zealand",207000000,2005,7.2,"Action"
"James Cameron",194,"Kate Winslet",658672302,"Leonardo DiCaprio","Titanic ","Gloria Stuart","English","USA",200000000,1997,7.7,"Drama"
"Anthony Russo",147,"Scarlett Johansson",407197282,"Robert Downey Jr.","Captain America: Civil War ","Chris Evans","English","USA",250000000,2016,8.2,"Action"
"Peter Berg",131,"Alexander Skarsgård",65173160,"Liam Neeson","Battleship ","Tadanobu Asano","English","USA",209000000,2012,5.9,"Action"
"Colin Trevorrow",124,"Judy Greer",652177271,"Bryce Dallas Howard","Jurassic World ","Omar Sy","English","USA",150000000,2015,7,"Action"
"Sam Mendes",143,"Helen McCrory",304360277,"Albert Finney","Skyfall ","Rory Kinnear","English","UK",200000000,2012,7.8,"Action"
"Sam Raimi",135,"James Franco",373377893,"J.K. Simmons","Spider-Man 2 ","Kirsten Dunst","English","USA",200000000,2004,7.3,"Action"
"Shane Black",195,"Jon Favreau",408992272,"Robert Downey Jr.","Iron Man 3 ","Don Cheadle","English","USA",200000000,2013,7.2,"Action"
"Tim Burton",108,"Alan Rickman",334185206,"Johnny Depp","Alice in Wonderland ","Anne Hathaway","English","USA",200000000,2010,6.5,"Adventure"
"Brett Ratner",104,"Kelsey Grammer",234360014,"Hugh Jackman","X-Men: The Last Stand ","Daniel Cudmore","English","Canada",210000000,2006,6.8,"Action"
"Dan Scanlon",104,"Tyler Labine",268488329,"Steve Buscemi","Monsters University ","Sean Hayes","English","USA",200000000,2013,7.3,"Adventure"
"Michael Bay",150,"Kevin Dunn",402076689,"Glenn Morshower","Transformers: Revenge of the Fallen ","Ramon Rodriguez","English","USA",200000000,2009,6,"Action"
"Michael Bay",165,"Sophia Myles",245428137,"Bingbing Li","Transformers: Age of Extinction ","Kelsey Grammer","English","USA",210000000,2014,5.7,"Action"
"Sam Raimi",130,"Mila Kunis",234903076,"Tim Holmes","Oz the Great and Powerful ","James Franco","English","USA",215000000,2013,6.4,"Adventure"
"Marc Webb",142,"Andrew Garfield",202853933,"Emma Stone","The Amazing Spider-Man 2 ","B.J. Novak","English","USA",200000000,2014,6.7,"Action"
"Joseph Kosinski",125,"Olivia Wilde",172051787,"Jeff Bridges","TRON: Legacy ","James Frain","English","USA",170000000,2010,6.8,"Action"
"John Lasseter",106,"Thomas Kretschmann",191450875,"Joe Mantegna","Cars 2 ","Eddie Izzard","English","USA",200000000,2011,6.3,"Adventure"
"Martin Campbell",123,"Temuera Morrison",116593191,"Ryan Reynolds","Green Lantern ","Taika Waititi","English","USA",200000000,2011,5.6,"Action"
"Lee Unkrich",103,"John Ratzenberger",414984497,"Tom Hanks","Toy Story 3 ","Don Rickles","English","USA",200000000,2010,8.3,"Adventure"
"McG",118,"Bryce Dallas Howard",125320003,"Christian Bale","Terminator Salvation ","Common","English","USA",200000000,2009,6.6,"Action"
"James Wan",140,"Paul Walker",350034110,"Jason Statham","Furious 7 ","Vin Diesel","English","USA",190000000,2015,7.2,"Action"
"Marc Forster",123,"Brad Pitt",202351611,"Peter Capaldi","World War Z ","Mireille Enos","English","USA",190000000,2013,7,"Action"
"Bryan Singer",149,"Peter Dinklage",233914986,"Jennifer Lawrence","X-Men: Days of Future Past ","Hugh Jackman","English","USA",200000000,2014,8,"Action"
"J.J. Abrams",132,"Bruce Greenwood",228756232,"Benedict Cumberbatch","Star Trek Into Darkness ","Noel Clarke","English","USA",190000000,2013,7.8,"Action"
"Bryan Singer",114,"Ewen Bremner",65171860,"Eddie Marsan","Jack the Giant Slayer ","Ralph Brown","English","USA",195000000,2013,6.3,"Adventure"
"Baz Luhrmann",143,"Elizabeth Debicki",144812796,"Leonardo DiCaprio","The Great Gatsby ","Steve Bisley","English","Australia",105000000,2013,7.3,"Drama"
"Mike Newell",116,"Richard Coyle",90755643,"Jake Gyllenhaal","Prince of Persia: The Sands of Time ","Reece Ritchie","English","USA",200000000,2010,6.6,"Action"
"Guillermo del Toro",131,"Clifton Collins Jr.",101785482,"Charlie Hunnam","Pacific Rim ","Larry Joe Campbell","English","USA",190000000,2013,7,"Action"
