Elevation	Total Plant Species	Lapse-Rate (x)	Schreiber	Shannon-Wiener
1500	36	7.165354331	633.6	3.509
1515	28	7.047244094	641.7	3.258
1525	27	6.968503937	647.1	3.19
1520	26	7.007874016	644.4	3.18
1570	26	6.614173228	671.4	3.16
1510	25	7.086614173	639	3.13
1545	24	6.811023622	657.9	3.096
1490	31	7.244094488	628.2	3.351
1530	23	6.929133858	649.8	3.05
1510	26	7.086614173	639	3.18
1465	21	7.440944882	614.7	2.928
1475	23	7.362204724	620.1	3.031
1600	24	6.377952756	687.6	3.076
1530	38	6.929133858	649.8	3.565
1600	31	6.377952756	687.6	3.362
1490	24	7.244094488	628.2	3.075
1520	24	7.007874016	644.4	3.081
1550	15	6.771653543	660.6	2.584
1750	23	5.196850394	734.38	3.1
1650	22	5.984251969	680.38	3.035
1510	18	7.086614173	604.78	2.826
2100	8	2.440944882	923.38	1.955
2160	10	1.968503937	955.78	2.188
2180	12	1.811023622	966.58	2.385
2135	13	2.165354331	942.28	2.464
2140	15	2.125984252	944.98	2.621
2010	12	3.149606299	874.78	2.379
1910	37	3.937007874	712.6	3.539
1915	33	3.897637795	715.3	3.402
1707	26	5.535433071	602.98	3.186
1836	29	4.519685039	672.64	3.315
1834	26	4.535433071	671.56	3.182
1883	30	4.149606299	698.02	3.356
1853	29	4.385826772	681.82	3.297
1836	26	4.519685039	672.64	3.193
1940	38	3.700787402	728.8	3.544
2020	38	3.070866142	772	3.546
1946	48	3.653543307	732.04	3.792
1920	40	3.858267717	718	3.272
1918	71	3.874015748	716.92	3.959
1956	29	3.57480315	737.44	3.27
1969	22	3.472440945	744.46	3.001
1911	51	3.929133858	713.14	3.832
1898	49	4.031496063	706.12	3.547
1920	45	3.858267717	718	3.725
1547	41	6.795275591	516.58	3.607
1572	36	6.598425197	530.08	3.479
1725	31	5.393700787	612.7	3.343
1613	27	6.275590551	552.22	3.203
1967	22	3.488188976	743.38	2.999
1963	32	3.519685039	741.22	3.384
1653	33	5.960629921	573.82	3.372
1621	36	6.212598425	556.54	3.517
1897	31	4.039370079	705.58	3.357
1570	29	6.614173228	529	3.289
1907	38	3.960629921	710.98	3.576
1665	35	5.866141732	580.3	3.466
1650	37	5.984251969	572.2	3.529
1620	30	6.220472441	556	3.315
1624	44	6.188976378	558.16	3.736
1657	45	5.929133858	575.98	3.699
1685	44	5.708661417	591.1	3.679
1600	29	6.377952756	545.2	3.252
1611	30	6.291338583	551.14	3.318
1560	33	6.692913386	523.6	3.42
1540	36	6.850393701	512.8	3.49
1493	32	7.220472441	487.42	3.369
1453	31	7.535433071	465.82	3.335
1495	39	7.204724409	488.5	3.57
1517	23	7.031496063	500.38	3.012
1850	36	4.409448819	778.68	3.487
1850	21	4.409448819	778.68	2.924
1900	21	4.015748031	805.68	2.95
1950	22	3.622047244	832.68	2.968
2000	28	3.228346457	859.68	3.233
2000	20	3.228346457	859.68	2.884
2000	21	3.228346457	859.68	2.933
1900	27	4.015748031	805.68	3.202
1850	18	4.409448819	778.68	2.782
1800	23	4.803149606	751.68	3.045
1600	13	6.377952756	643.68	2.413
1600	13	6.377952756	643.68	2.395
1600	15	6.377952756	643.68	2.555
1450	12	7.559055118	562.68	2.32
1450	12	7.559055118	562.68	2.329
1450	10	7.559055118	562.68	2.13
1450	8	7.559055118	562.68	1.868
1450	13	7.559055118	562.68	2.404
1600	11	6.377952756	643.68	2.229
1600	9	6.377952756	643.68	2.011
1600	11	6.377952756	643.68	2.236
1750	23	5.196850394	724.68	3.009
1800	21	4.803149606	751.68	2.93
1800	16	4.803149606	751.68	2.652
1850	18	4.409448819	778.68	2.75
1850	20	4.409448819	778.68	2.887
1900	25	4.015748031	805.68	3.135
1950	21	3.622047244	832.68	2.927
1975	22	3.42519685	846.18	2.978
1975	17	3.42519685	846.18	2.684
1900	16	4.015748031	805.68	2.661
2000	19	3.228346457	859.68	2.816
1800	19	4.803149606	751.68	2.826
1310	59	8.661417323	739.32	4.012
1380	57	8.11023622	777.12	3.973
1350	55	8.346456693	760.92	3.927
1370	54	8.188976378	771.72	3.896
1290	53	8.818897638	728.52	3.901
1350	53	8.346456693	760.92	3.896
1110	50	10.23622047	631.32	3.857
1340	48	8.42519685	755.52	3.797
1330	49	8.503937008	750.12	3.802
1180	44	9.68503937	669.12	3.716
1340	42	8.42519685	755.52	3.653
1350	42	8.346456693	760.92	3.65
1340	41	8.42519685	755.52	3.622
1350	39	8.346456693	760.92	3.562
1310	44	8.661417323	739.32	3.704
1120	36	10.15748031	636.72	3.51
1290	38	8.818897638	728.52	3.513
1160	34	9.842519685	658.32	3.399
1260	38	9.05511811	712.32	3.503
1140	40	10	647.52	3.581
1310	35	8.661417323	739.32	3.458
1340	35	8.42519685	755.52	3.444
1280	35	8.897637795	723.12	3.431
1310	31	8.661417323	739.32	3.319
1190	34	9.606299213	674.52	3.447
1190	30	9.606299213	674.52	3.303
1200	32	9.527559055	679.92	3.367
1175	44	9.724409449	700	3.73
1200	44	9.527559055	713.5	3.749
1230	37	9.291338583	729.7	3.55
1300	36	8.74015748	767.5	3.522
1350	32	8.346456693	794.5	3.398
1300	35	8.74015748	767.5	3.492
1250	26	9.133858268	740.5	3.179
1300	30	8.74015748	767.5	3.33
1320	23	8.582677165	778.3	3.049
1350	27	8.346456693	794.5	3.219
