ULKE;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007
Arjantin;241315;308756;363711;506539;497376;577233;508401;380067;399236;350735
Avustralya;149000;159872;166933;170808;189949;189503;205334;188158;285590;283348
Avusturya;90;109;136000;146566;123602;130343;86183;56620;125836;199969
Belçika;354003;369172;481636;465504;504616;560779;528996;56620;680131;789674
Brezilya;1778464;2018954;2502293;2722979;2589236;2519389;2584690;56620;2545729;2391354
Kanada;802057;888565;913533;965191;1040298;990482;967077;56620;1195436;1342133
Çin;24420744;21079427;19928505;18084169;15523658;14485326;13897083;56620;6737745;6381116
Çek Cumhuriyeti;1344182;1298236;1246506;1128473;1171774;1191968;1069518;56620;934046;925060
Mýsýr;10930;12.000;17542;13777;36,88;53072;76412;56620;77563;68934
Finlandiya;55,28;69.000;45.000;7,6;8600;2540;6385;56620;17519;24.000
Fransa;1626000;1553800;1499464;1458220;1682814;1931030;1924171;56620;2145935;2550869
Almanya;5746808;5707938;5604026;5439904;5388459;5871918;5552409;56620;5532030;5709139
Macaristan;472000;491720;434069;317857;215440;211218;208571;56620;342359;287982
Hindistan;3677605;3378063;3162372;3155694;3296240;3040144;2831542;56620;1846051;1713479
Endonezya;968101;824445;1013172;924753;745144;562250;496524;56620;431423;309208
Ýran;1074000;884866;925975;630639;856927;1412803;1367014;56620;1048307;882000
Ýtalya;713182;663139;401317;388465;396817;485606;573169;56620;659221;910860
Japonya;7873886;7830722;8277070;8189323;8554503;7158525;8310362;56620;9928143;9944637
Malezya;469720;558324;545122;543892;509621;488441;522568;56620;484512;347971
Meksika;1993168;1968054;1915709;1771987;1810007;1657080;1386148;56620;1217458;1209097
Hollanda;42150;41870;29196;0;24895;40772;48025;56620;59223;61912
Polonya;554600;534700;472600;475000;539671;741000;785000;56620;842000;695000
Portekiz;99200;115468;117744;109698;115735;141779;114563;56620;132242;134047
Romanya;358861;387171;391422;410959;326556;310243;323587;56620;231056;234103
Rusya;1124774;1214849;1682921;1927578;1970087;1744097;1208362;56620;1469429;1288652
Sýrbistan;79360;82400;101576;113487;10227;10227;14551;56620;9818;8236
Slovakya;1040000;1000001;971160;975000;926555;639763;561933;56620;575776;571071
Slovenya;133702;133092;118533;89395;126836;168955;201039;56620;180233;174209
Güney Afrika;335539;341025;277491;265257;274873;312265;295394;56620;321124;276018
Güney Kore;3859991;4135108;4124116;4122604;4167089;4221617;3866206;56620;3450478;3723482
ispanya;2354117;2218980;1898342;1754668;1539680;1839068;1913513;56620;1943049;2195780
Ýsveç;205374;188987;154174;161080;162814;188969;177084;56620;252287;316850
Tayvan;251096;298418;332629;291037;278043;288523;251490;56620;138714;212685
Tayland;805033;772250;743258;1071076;945100;537987;554387;56620;401309;315444
Türkiye;950888;791027;733439;633604;577296;639734;603394;56620;621567;634883
Ukrayna;4340;5654;25941;45758;69687;97585;75261;56620;400799;380061
UK;1722698;1587677;1528148;1509762;1464906;1343810;1270444;56620;1446619;1534567
